accession	tax_id	scientific_name	base_count	last_updated	first_public	description
U68471	30013	Drosophila madeirensis	1042	1999-09-17	1999-01-06	Drosophila madeirensis alcohol dehydrogenase (Adh) processed pseudogene.
X62202	7237	Drosophila pseudoobscura	3476	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62208	7237	Drosophila pseudoobscura	3468	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62216	7237	Drosophila pseudoobscura	3481	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62231	7237	Drosophila pseudoobscura	3465	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64481	7237	Drosophila pseudoobscura	3494	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
AY238780	7229	Drosophila miranda	2042	2005-04-16	2003-04-08	Drosophila miranda strain MSH22 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AY238781	7229	Drosophila miranda	2042	2005-04-16	2003-04-08	Drosophila miranda strain MSH38 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AF264081	46794	Drosophila tropicalis	405	2005-04-15	2000-05-30	Drosophila tropicalis alcohol dehydrogenase (Adh) gene, partial cds.
AF264082	7260	Drosophila willistoni	405	2005-04-15	2000-05-30	Drosophila willistoni alcohol dehydrogenase (Adh) gene, partial cds.
AY006426	46814	Drosophila primaeva	508	2005-09-26	2001-09-04	Drosophila primaeva alcohol dehydrogenase (Adh) gene, partial cds.
AY081438	103845	Drosophila nannoptera	288	2005-04-16	2002-08-09	Drosophila nannoptera alcohol dehydrogenase (Adh) gene, partial cds.
AY750121	65966	Drosophila tsigana	911	2006-07-20	2005-12-31	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
AY750125	107829	Drosophila moriwakii	911	2006-07-20	2005-12-31	Drosophila moriwakii alcohol dehydrogenase (Adh) gene, partial cds.
AY750133	311479	Drosophila gani	911	2006-07-20	2005-12-31	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.
M73256	7227	Drosophila melanogaster	1375	2006-11-14	1991-07-12	D.melanogaster alcohol dehydrogenase (Adh) gene, exon 2.
MG684382	30044	Drosophila rubida	693	2018-02-04	2018-02-04	Drosophila rubida alcohol dehydrogenase (Adh) gene, partial cds.
AB026529	46793	Drosophila paulistorum	776	2005-04-14	1999-10-29	Drosophila paulistorum gene for alcohol dehydrogenase, partial cds.
AF059890	7256	Drosophila pinicola	290	2005-04-15	1998-04-28	Drosophila pinicola alcohol dehydrogenase (Adh) gene, partial cds.
AY006424	46819	Drosophila obscuripes	510	2005-09-26	2001-09-04	Drosophila obscuripes alcohol dehydrogenase (Adh) gene, partial cds.
AY750128	65966	Drosophila tsigana	911	2006-07-20	2005-12-31	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
HQ631469	125945	Drosophila biarmipes	290	2012-01-02	2011-08-30	Drosophila biarmipes alcohol dehydrogenase (adh) gene, partial cds.
HQ631474	65963	Drosophila fuyamai	290	2012-01-02	2011-08-30	Drosophila fuyamai alcohol dehydrogenase (adh) gene, partial cds.
HQ631477	212812	Drosophila liui	290	2012-01-02	2011-08-30	Drosophila liui alcohol dehydrogenase (adh) gene, partial cds.
HQ631482	65964	Drosophila pseudoananassae	290	2012-01-02	2011-08-30	Drosophila pseudoananassae alcohol dehydrogenase (adh) gene, partial cds.
HQ631483	94111	Drosophila prostipennis	290	2012-01-02	2011-08-30	Drosophila prostipennis alcohol dehydrogenase (adh) gene, partial cds.
HQ631485	137070	Drosophila tani	290	2012-01-02	2011-08-30	Drosophila tani alcohol dehydrogenase (adh) gene, partial cds.
HQ631486	94110	Drosophila trapezifrons	290	2012-01-02	2011-08-30	Drosophila trapezifrons alcohol dehydrogenase (adh) gene, partial cds.
HQ631487	94114	Drosophila trilutea	290	2012-01-02	2011-08-30	Drosophila trilutea alcohol dehydrogenase (adh) gene, partial cds.
JF710263	50033	Drosophila kanekoi	890	2011-07-03	2011-07-03	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, complete cds.
AF264073	46840	Drosophila capricorni	405	2005-04-15	2000-05-30	Drosophila capricorni alcohol dehydrogenase (Adh) gene, partial cds.
AF264074	46790	Drosophila equinoxialis	405	2005-04-15	2000-05-30	Drosophila equinoxialis alcohol dehydrogenase (Adh) gene, partial cds.
AY006412	46808	Drosophila oahuensis	510	2005-09-26	2001-09-04	Drosophila oahuensis alcohol dehydrogenase (Adh) gene, partial cds.
AY750122	119604	Drosophila lacertosa	911	2006-07-20	2005-12-31	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.
AY750129	311475	Drosophila yunnanensis	911	2006-07-20	2005-12-31	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.
AY750143	311480	Drosophila medioconstricta	911	2006-07-20	2005-12-31	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.
DQ471664	7253	Drosophila mercatorum	711	2006-07-20	2006-07-20	Drosophila mercatorum alcohol dehydrogenase (Adh) gene, partial cds.
EU532133	126477	Drosophila fumipennis	590	2010-01-21	2010-01-21	Drosophila fumipennis alcohol dehydrogenase (Adh) gene, partial cds.
HQ631479	307244	Drosophila ogumai	290	2012-01-02	2011-08-30	Drosophila ogumai alcohol dehydrogenase (adh) gene, partial cds.
L08648	7260	Drosophila willistoni	1308	2006-11-14	1993-01-15	Drosophila willistoni alcohol dehydrogenase (Adh) gene, complete cds.
M36581	7240	Drosophila simulans	2719	2006-11-14	1990-08-30	D.simulans alcohol dehydrogenase (Adh) gene, complete cds.
U26843	40371	Drosophila lummei	950	2005-04-17	1995-06-22	Drosophila lummei alcohol dehydrogenase (Adh) gene, complete cds.
X68159	7237	Drosophila pseudoobscura	3476	2006-11-14	1992-10-08	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS298)
X68161	7237	Drosophila pseudoobscura	3463	2006-11-14	1992-10-08	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS302)
AB026526	30024	Drosophila emarginata	840	2005-04-14	1999-10-29	Drosophila emarginata gene for alcohol dehydrogenase, partial cds.
AY750140	311483	Drosophila unimaculata	911	2006-07-20	2005-12-31	Drosophila unimaculata alcohol dehydrogenase (Adh) gene, partial cds.
AY754404	7246	Drosophila affinis	2529	2006-10-20	2005-04-04	Drosophila affinis alcohol dehydrogenase (Adh) gene, complete cds.
DQ471657	30016	Drosophila aracataca	711	2006-07-20	2006-07-20	Drosophila aracataca alcohol dehydrogenase (Adh) gene, partial cds.
U94206	58310	Drosophila soonae	204	2005-04-18	1998-02-23	Drosophila soonae alcohol dehydrogenase (Adh) gene, partial cds.
U94196	46895	Drosophila cyrtoloma	222	2005-04-18	1998-02-23	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.
GQ376038	7240	Drosophila simulans	410	2009-08-03	2009-08-02	Drosophila simulans alcohol dehydrogenase (ADH) gene, partial cds.
AY238770	7229	Drosophila miranda	2042	2005-04-16	2003-04-08	Drosophila miranda strain 0101.3 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AF260693	7257	Drosophila robusta	458	2005-04-15	2000-09-20	Drosophila robusta alcohol dehydrogenase-related protein gene, partial cds.
M60992	46244	Drosophila pseudoobscura bogotana	3485	2006-11-14	1992-04-30	Drosophila pseudoobscura bogotana alcohol dehydrogenase (adh) gene, complete cds.
X03630	7230	Drosophila mojavensis	285	2005-04-18	1986-11-18	Drosophila mojavensis duplicated Adh-2 gene fragment (alcohol dehydrogenase)
AB261132	98362	Drosophila ruberrima	858	2007-11-03	2007-11-03	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds.
AB932674	30046	Drosophila sternopleuralis	755	2014-10-26	2014-10-26	Drosophila sternopleuralis Adh gene for alcohol dehydrogenase, partial cds.
HQ232350	1052065	Drosophila hypercephala	437	2011-08-08	2011-08-08	Drosophila hypercephala isolate c1 alcohol dehydrogenase gene, partial cds.
KM016470	7240	Drosophila simulans	476	2014-09-24	2014-09-24	Drosophila simulans isolate KY06 alcohol dehydrogenase-related gene, intron.
KM016474	7240	Drosophila simulans	481	2014-09-24	2014-09-24	Drosophila simulans isolate KY04 alcohol dehydrogenase-related gene, intron.
U95272	46793	Drosophila paulistorum	1166	2005-04-18	1999-01-06	Drosophila paulistorum Tame alcohol dehydrogenase (Adh) gene, complete cds.
X57365	7245	Drosophila yakuba	975	2006-11-14	1991-07-17	Drosophila yakuba (individual a) Adh gene for alcohol dehydrogenase
AB261133	157293	Drosophila hypocausta	850	2007-11-03	2007-11-03	Drosophila hypocausta Adh gene for alcohol dehydrogenase, partial cds.
AB261138	154130	Drosophila neonasuta	856	2007-11-03	2007-11-03	Drosophila neonasuta Adh gene for alcohol dehydrogenase, partial cds.
AB932653	198716	Drosophila deflecta	848	2014-10-26	2014-10-26	Drosophila deflecta Adh gene for alcohol dehydrogenase, partial cds.
AB932661	434062	Drosophila macrospina	847	2014-10-26	2014-10-26	Drosophila macrospina Adh gene for alcohol dehydrogenase, partial cds.
AB932671	55946	Drosophila recens	839	2014-10-26	2014-10-26	Drosophila recens Adh gene for alcohol dehydrogenase, partial cds.
AF260690	7224	Drosophila hydei	450	2005-04-15	2000-09-20	Drosophila hydei alcohol dehydrogenase-related protein gene, partial cds.
KM016467	7240	Drosophila simulans	481	2014-09-24	2014-09-24	Drosophila simulans isolate KY35 alcohol dehydrogenase-related gene, intron.
X57367	7245	Drosophila yakuba	975	2006-11-14	1991-07-17	Drosophila yakuba (individual c) Adh gene for alcohol dehydrogenase
X57368	7245	Drosophila yakuba	975	2006-11-14	1991-07-17	Drosophila yakuba (individual d) Adh gene for alcohol dehydrogenase
X57371	7245	Drosophila yakuba	975	2006-11-14	1991-07-17	Drosophila yakuba (individual g) Adh gene for alcohol dehydrogenase
X57364	7240	Drosophila simulans	975	2006-11-14	1991-07-17	Drosophila simulans (individual f) Adh gene for alcohol dehydrogenase
X57366	7245	Drosophila yakuba	975	2006-11-14	1991-07-17	Drosophila yakuba (individual b) ADH gene for alcohol dehydrogenase
AB033639	55950	Drosophila sordidula	711	2006-07-17	1999-11-16	Drosophila sordidula Adh mRNA for alcohol dehydrogenase, partial cds.
AB033640	7244	Drosophila virilis	711	2006-07-17	1999-11-16	Drosophila virilis Adh mRNA for alcohol dehydrogenase, partial cds.
AB932652	126591	Drosophila curvispina	845	2015-01-14	2015-01-14	Drosophila curvispina Adh gene for alcohol dehydrogenase, partial cds.
AB932676	614641	Drosophila tenebrosa	849	2014-10-26	2014-10-26	Drosophila tenebrosa Adh gene for alcohol dehydrogenase, partial cds.
U26845	40370	Drosophila montana	957	2005-04-17	1995-06-22	Drosophila montana alcohol dehydrogenase (Adh-2) gene, complete cds.
U76484	7224	Drosophila hydei	251	2000-03-04	1997-03-06	Drosophila hydei alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.
U95254	7260	Drosophila willistoni	1172	2005-04-18	1999-01-06	Drosophila willistoni A57 alcohol dehydrogenase (Adh) gene, complete cds.
X57363	7240	Drosophila simulans	972	2006-11-14	1991-07-17	Drosophila simulans (individual e) Adh gene for alcohol dehydrogenase
X60791	7227	Drosophila melanogaster	1925	2006-11-14	1991-10-07	D.melanogaster (strain KA12) Adh gene for alcohol dehydrogenase
AF201442	7240	Drosophila simulans	478	2006-11-14	2000-07-03	Drosophila simulans isolate RU01 alcohol dehydrogenase (Adhr) gene, intron 1.
DQ471623	309936	Drosophila daruma	711	2006-07-20	2006-07-20	Drosophila daruma strain 151 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471645	381453	Drosophila beppui	711	2006-07-20	2006-07-20	Drosophila beppui strain 260 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471652	119604	Drosophila lacertosa	711	2006-07-20	2006-07-20	Drosophila lacertosa strain 240 alcohol dehydrogenase (Adh) gene, partial cds.
EU532124	46793	Drosophila paulistorum	588	2010-01-21	2010-01-21	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.
JX455219	7240	Drosophila simulans	481	2014-01-02	2012-09-03	Drosophila simulans isolate HW50 alcohol dehydrogenase (Adhr) gene, intron 1.
KX976501	7245	Drosophila yakuba	771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_Abidjan_12 alcohol dehydrogenase (Adh) mRNA, complete cds.
M60987	7237	Drosophila pseudoobscura	3466	2006-11-14	1992-01-26	Drosophila pseudoobscura (strain AH162) alcohol dehydrogenase (adh) gene, complete cds.
U95263	7260	Drosophila willistoni	1172	2005-04-18	1999-01-06	Drosophila willistoni Manaus III alcohol dehydrogenase (Adh) gene, complete cds.
AB154557	30033	Drosophila kikkawai	686	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh16.
AB154562	30033	Drosophila kikkawai	683	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh21.
AF201445	7240	Drosophila simulans	465	2006-11-14	2000-07-03	Drosophila simulans isolate MD111 alcohol dehydrogenase (Adhr) gene, intron 1.
AY095939	193351	Drosophila transversa	435	2008-12-16	2003-05-01	Drosophila transversa isolate tra1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471621	309936	Drosophila daruma	711	2006-07-20	2006-07-20	Drosophila daruma strain 137 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471638	381448	Drosophila angor	711	2006-07-20	2006-07-20	Drosophila angor strain 33 alcohol dehydrogenase (Adh) gene, partial cds.
EU532121	46793	Drosophila paulistorum	558	2010-01-21	2010-01-21	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.
JF710264	40368	Drosophila borealis	895	2011-07-03	2011-07-03	Drosophila borealis strain W alcohol dehydrogenase (Adh) gene, complete cds.
KX976493	7245	Drosophila yakuba	771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_Cascade_18 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976495	7245	Drosophila yakuba	771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_Cascade_19 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976520	7245	Drosophila yakuba	771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_2_6 alcohol dehydrogenase (Adh) mRNA, complete cds.
M60997	7234	Drosophila persimilis	3506	2006-11-14	1992-01-24	Drosophila persimilis (strain 178) alcohol dehydrogenase (adh) gene, complete cds.
Z00030	7227	Drosophila melanogaster	7423	2006-11-14	1986-07-02	D. melanogaster alcohol dehydrogenase structural gene and flanks (composite sequence)
AF284476	7226	Drosophila mauritiana	701	2006-11-14	2000-11-02	Drosophila mauritiana strain 197 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471618	309936	Drosophila daruma	711	2006-07-20	2006-07-20	Drosophila daruma strain 109 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471620	381452	Drosophila barutani	711	2006-07-20	2006-07-20	Drosophila barutani strain 53 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471649	381466	Drosophila karakasa	711	2006-07-20	2006-07-20	Drosophila karakasa strain 249 alcohol dehydrogenase (Adh) gene, partial cds.
EU532126	46793	Drosophila paulistorum	507	2010-01-21	2010-01-21	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.
KX384730	42026	Drosophila bipectinata	873	2017-01-03	2017-01-03	Drosophila bipectinata strain IND_DBP_U14 alcohol dehydrogenase (Adh) gene, partial cds.
KX976491	7245	Drosophila yakuba	771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_Montecafe_17_17 alcohol dehydrogenase (Adh) mRNA, complete cds.
M60983	7237	Drosophila pseudoobscura	3487	2006-11-14	1992-01-26	Drosophila pseudoobscura (strain AH122) alcohol dehydrogenase (adh) gene, complete cds.
U95269	46790	Drosophila equinoxialis	1167	2005-04-18	1999-01-06	Drosophila equinoxialis Puerto Rico alcohol dehydrogenase (Adh) gene, complete cds.
DQ471639	381452	Drosophila barutani	711	2006-07-20	2006-07-20	Drosophila barutani strain 52 alcohol dehydrogenase (Adh) gene, partial cds.
AF201435	7240	Drosophila simulans	480	2006-11-14	2000-07-03	Drosophila simulans isolate DSW alcohol dehydrogenase (Adhr) gene, intron 1.
AF201447	7240	Drosophila simulans	480	2006-11-14	2000-07-03	Drosophila simulans isolate MD199 alcohol dehydrogenase (Adhr) gene, intron 1.
DQ471612	381448	Drosophila angor	711	2006-07-20	2006-07-20	Drosophila angor strain A138 alcohol dehydrogenase (Adh) gene, partial cds.
EU532122	46793	Drosophila paulistorum	573	2010-01-21	2010-01-21	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.
EU532123	46793	Drosophila paulistorum	588	2010-01-21	2010-01-21	Drosophila paulistorum from Honduras alcohol dehydrogenase (Adh) gene, partial cds.
DQ471610	119604	Drosophila lacertosa	711	2006-07-20	2006-07-20	Drosophila lacertosa strain 170 alcohol dehydrogenase (Adh) gene, partial cds.
U95252	7260	Drosophila willistoni	1172	2005-04-18	1999-01-06	Drosophila willistoni 0811.4 alcohol dehydrogenase (Adh) gene, complete cds.
JX455210	7240	Drosophila simulans	480	2014-01-02	2012-09-03	Drosophila simulans isolate HW01 alcohol dehydrogenase (Adhr) gene, intron 1.
JX455211	7240	Drosophila simulans	480	2014-01-02	2012-09-03	Drosophila simulans isolate HW02 alcohol dehydrogenase (Adhr) gene, intron 1.
AB154548	30033	Drosophila kikkawai	686	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh07.
AB154549	30033	Drosophila kikkawai	686	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh08.
AB154558	30033	Drosophila kikkawai	683	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh17.
AY095940	42027	Drosophila kuntzei	431	2008-12-16	2003-05-01	Drosophila kuntzei isolate kun1 alcohol dehydrogenase (Adh) gene, partial cds.
AY095946	126591	Drosophila curvispina	443	2008-12-16	2003-05-01	Drosophila curvispina isolate cur1 alcohol dehydrogenase (Adh) gene, partial cds.
AY095951	7283	Drosophila phalerata	430	2008-12-16	2003-05-01	Drosophila phalerata isolate pha1 alcohol dehydrogenase (Adh) gene, partial cds.
AY335196	46840	Drosophila capricorni	776	2005-04-16	2003-12-31	Drosophila capricorni clone Dcap3 alcohol dehydrogenase (Adh) gene, partial cds.
AY335199	30047	Drosophila sturtevanti	792	2005-04-16	2003-12-31	Drosophila sturtevanti clone Dsturt1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471616	381448	Drosophila angor	711	2006-07-20	2006-07-20	Drosophila angor strain 112 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471619	381449	Drosophila asper	711	2006-07-20	2006-07-20	Drosophila asper strain 152 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471640	311480	Drosophila medioconstricta	711	2006-07-20	2006-07-20	Drosophila medioconstricta strain 148 alcohol dehydrogenase (Adh) gene, partial cds.
KX976505	7245	Drosophila yakuba	771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_Bosu_1235_14 alcohol dehydrogenase (Adh) mRNA, complete cds.
U95274	46794	Drosophila tropicalis	1162	2005-04-18	1999-01-06	Drosophila tropicalis 0801.0 alcohol dehydrogenase (Adh) gene, complete cds.
U95268	46790	Drosophila equinoxialis	1174	2005-04-18	1999-01-06	Drosophila equinoxialis 0741.0 alcohol dehydrogenase (Adh) gene, complete cds.
AB669852	111875	Drosophila jambulina	830	2014-01-02	2014-01-02	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: NHO115.
AF136658	95109	Drosophila americana americana	884	2005-04-15	1999-06-03	Drosophila americana americana G96.40X alcohol dehydrogenase (Adh) gene, partial cds.
AF136674	95109	Drosophila americana americana	884	2005-04-15	1999-06-03	Drosophila americana americana G96.10X alcohol dehydrogenase (Adh) gene, partial cds.
AF136706	40372	Drosophila americana texana	884	2005-04-15	1999-06-03	Drosophila americana texana LP97.09 alcohol dehydrogenase (Adh) gene, partial cds.
AF175212	7227	Drosophila melanogaster	951	1999-12-21	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h13 allele, complete cds.
AF175217	7227	Drosophila melanogaster	951	1999-12-21	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k30 allele, complete cds.
U64547	7237	Drosophila pseudoobscura	3471	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS323 allele, complete cds.
U64551	7237	Drosophila pseudoobscura	3473	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS334 allele, complete cds.
Y00602	7237	Drosophila pseudoobscura	3535	2006-11-14	1987-09-19	D. pseudoobscura Adh gene for alcohol dehydrogenase (EC1.1.1.1)
AF136665	95109	Drosophila americana americana	884	2005-04-15	1999-06-03	Drosophila americana americana G96.06X alcohol dehydrogenase (Adh) gene, partial cds.
AF136672	95109	Drosophila americana americana	884	2005-04-15	1999-06-03	Drosophila americana americana G96.13X alcohol dehydrogenase (Adh) gene, partial cds.
AF136705	40372	Drosophila americana texana	884	2005-04-15	1999-06-03	Drosophila americana texana LP97.02 alcohol dehydrogenase (Adh) gene, partial cds.
AF175211	7227	Drosophila melanogaster	951	1999-12-21	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h12 allele, complete cds.
AF459756	195712	Drosophila phaeopleura	290	2006-11-14	2002-05-16	Drosophila phaeopleura alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
KY002643	7227	Drosophila melanogaster	708	2017-10-13	2017-10-13	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_AMD10 alcohol dehydrogenase-like gene, complete sequence.
KY002644	7217	Drosophila ananassae	740	2017-10-13	2017-10-13	UNVERIFIED: Drosophila ananassae strain IND_DANA_KL18 alcohol dehydrogenase-like gene, partial sequence.
AB669840	67534	Drosophila triauraria	842	2014-01-02	2014-01-02	Drosophila triauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KMJ1.
AB669881	137353	Drosophila baimaii	838	2014-01-02	2014-01-02	Drosophila baimaii Adh gene for alcohol dehydrogenase, partial cds, strain: Y150.
AB669889	137077	Drosophila parvula	864	2014-01-02	2014-01-02	Drosophila parvula Adh gene for alcohol dehydrogenase, partial cds, strain: SHL17.
AF136686	95109	Drosophila americana americana	884	2005-04-15	1999-06-03	Drosophila americana americana G96.27Y alcohol dehydrogenase (Adh) gene, partial cds.
AF175216	7227	Drosophila melanogaster	951	1999-12-21	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k15 allele, complete cds.
AF459786	30025	Drosophila ficusphila	290	2006-11-14	2002-05-16	Drosophila ficusphila alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
KJ767240	7227	Drosophila melanogaster	872	2014-10-29	2014-09-04	Drosophila melanogaster strain Zimbabwe-109 alcohol dehydrogenase (Adh) gene, partial cds.
AB669853	60717	Drosophila punjabiensis	836	2014-01-02	2014-01-02	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: CJB212.
AF136670	95109	Drosophila americana americana	884	2005-04-15	1999-06-03	Drosophila americana americana G96.38X alcohol dehydrogenase (Adh) gene, partial cds.
AF136696	95109	Drosophila americana americana	884	2005-04-15	1999-06-03	Drosophila americana americana G96.30Y alcohol dehydrogenase (Adh) gene, partial cds.
AF459747	186284	Drosophila paralutea	290	2006-11-14	2002-05-16	Drosophila paralutea alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
U64532	7237	Drosophila pseudoobscura	3392	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS260 allele, complete cds.
